GAME ID,DATE TIME,TIME,Location,Home Team,Road Team,Home Score,Road Score,Result,Home Team Logo,Road Team Logo
969,3/6/2019,7:30 PM,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,,,,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
970,3/6/2019,8:00 PM,United Center,Chicago Bulls,Philadelphia 76ers,,,,https://www.nba.com/assets/logos/teams/primary/web/CHI.svg,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg
971,3/6/2019,8:00 PM,Smoothie King Center,New Orleans Pelicans,Utah Jazz,,,,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg
972,3/6/2019,9:00 PM,Talking Stick Resort Arena,Phoenix Suns,New York Knicks,,,,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg
973,3/6/2019,10:00 PM,Golden 1 Center,Sacramento Kings,Boston Celtics,,,,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg
974,3/6/2019,10:30 PM,Staples Center,Los Angeles Lakers,Denver Nuggets,,,,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg
975,3/7/2019,8:00 PM,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,,,,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg,https://www.nba.com/assets/logos/teams/primary/web/IND.svg
976,3/7/2019,10:30 PM,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,,,,https://www.nba.com/assets/logos/teams/primary/web/POR.svg,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg
977,3/8/2019,7:00 PM,Spectrum Center,Charlotte Hornets,Washington Wizards,,,,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg
978,3/8/2019,7:00 PM,Amway Center,Orlando Magic,Dallas Mavericks,,,,https://www.nba.com/assets/logos/teams/primary/web/ORL.svg,https://www.nba.com/assets/logos/teams/primary/web/DAL.svg
979,3/8/2019,8:00 PM,AmericanAirlines Arena,Miami Heat,Cleveland Cavaliers,,,,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
980,3/8/2019,8:00 PM,United Center,Chicago Bulls,Detroit Pistons,,,,https://www.nba.com/assets/logos/teams/primary/web/CHI.svg,https://www.nba.com/assets/logos/teams/primary/web/DET.svg
981,3/8/2019,8:00 PM,Toyota Center,Houston Rockets,Philadelphia 76ers,,,,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg
982,3/8/2019,8:00 PM,FedExForum,Memphis Grizzlies,Utah Jazz,,,,https://www.nba.com/assets/logos/teams/primary/web/MEM.svg,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg
983,3/8/2019,8:00 PM,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,,,,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg,https://www.nba.com/assets/logos/teams/primary/web/TOR.svg
984,3/8/2019,10:30 PM,ORACLE Arena,Golden State Warriors,Denver Nuggets,,,,https://www.nba.com/assets/logos/teams/primary/web/GSW.svg,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg
985,3/8/2019,10:30 PM,Staples Center,LA Clippers,Oklahoma City Thunder,,,,https://www.nba.com/assets/logos/teams/primary/web/LAC.svg,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg
986,3/9/2019,12:00 PM,Madison Square Garden,New York Knicks,Sacramento Kings,,,,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg
987,3/9/2019,7:00 PM,State Farm Arena,Atlanta Hawks,Brooklyn Nets,,,,https://www.nba.com/assets/logos/teams/primary/web/ATL.svg,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg
988,3/9/2019,8:00 PM,Target Center,Minnesota Timberwolves,Washington Wizards,,,,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg
989,3/9/2019,8:30 PM,Staples Center,Los Angeles Lakers,Boston Celtics,,,,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg
990,3/9/2019,10:00 PM,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,,,,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg
991,3/9/2019,10:00 PM,Moda Center,Portland Trail Blazers,Phoenix Suns,,,,https://www.nba.com/assets/logos/teams/primary/web/POR.svg,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg
992,3/10/2019,12:00 PM,Little Caesars Arena,Detroit Pistons,Chicago Bulls,,,,https://www.nba.com/assets/logos/teams/primary/web/DET.svg,https://www.nba.com/assets/logos/teams/primary/web/CHI.svg
993,3/10/2019,3:30 PM,AmericanAirlines Arena,Miami Heat,Toronto Raptors,,,,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg,https://www.nba.com/assets/logos/teams/primary/web/TOR.svg
994,3/10/2019,3:30 PM,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,,,,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg,https://www.nba.com/assets/logos/teams/primary/web/IND.svg
995,3/10/2019,6:00 PM,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,,,,https://www.nba.com/assets/logos/teams/primary/web/ATL.svg,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg
996,3/10/2019,6:00 PM,FedExForum,Memphis Grizzlies,Orlando Magic,,,,https://www.nba.com/assets/logos/teams/primary/web/MEM.svg,https://www.nba.com/assets/logos/teams/primary/web/ORL.svg
997,3/10/2019,7:00 PM,American Airlines Center,Dallas Mavericks,Houston Rockets,,,,https://www.nba.com/assets/logos/teams/primary/web/DAL.svg,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg
998,3/10/2019,8:00 PM,Target Center,Minnesota Timberwolves,New York Knicks,,,,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg
999,3/10/2019,8:00 PM,AT+ACY-T Center,San Antonio Spurs,Milwaukee Bucks,,,,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg
1000,3/10/2019,8:30 PM,ORACLE Arena,Golden State Warriors,Phoenix Suns,,,,https://www.nba.com/assets/logos/teams/primary/web/GSW.svg,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg
